observation,state,year,dmargin,demwin,dwinnext,bin
1,2,1966,-31.51063621,0,0,10
2,2,1968,-18.67650151,0,0,16
3,2,1970,-34.38001573,0,0,8
4,2,1974,-22.52660096,0,0,14
5,2,1976,-25.03833771,0,0,13
6,2,1978,-27.87154019,0,0,12
7,2,1984,-2.002647519,0,0,24
8,2,1988,-19.2990154,0,0,16
9,2,1994,-34.62494612,0,0,8
10,2,1996,-30.60486913,0,0,10
11,2,2004,-26.32,0,0,12
12,2,2006,-36.32,0,0,7
13,2,1966,-9.2974931,0,0,21
14,2,1968,-21.15346491,0,0,15
15,2,1970,-35.79059541,0,0,8
16,2,1974,-32.2178483,0,0,9
17,2,1976,-15.2094245,0,0,18
18,2,1978,-8.001676202,0,0,21
19,2,1980,-23.90640974,0,0,14
20,2,1984,-21.77922726,0,0,15
21,2,1986,-33.3973527,0,0,9
22,2,1990,-2.578234673,0,0,24
23,2,1994,-47.15740681,0,0,2
24,2,1996,-27.79800892,0,0,12
25,2,1998,-38.66345882,0,0,6
26,2,2000,-40.08,0,0,5
27,2,2004,-43.02,0,0,4
28,2,2006,-39.08,0,1,6
29,2,1990,47.45804369,1,1,49
30,2,1994,27.1984905,1,0,39
31,2,1996,-3.091344237,0,0,24
32,2,1998,-16.20556414,0,0,17
33,2,2004,-22.46,0,0,14
34,2,2006,-21.44,0,0,15
35,2,1956,46.823439,1,1,49
36,2,1996,-1.697057486,0,0,25
37,2,1998,-12.86458969,0,0,19
38,2,2000,-23.68,0,0,14
39,2,2004,-49.66,0,0,1
40,2,2006,-40.52,0,0,5
41,2,1968,33.42176676,1,1,42
42,2,1988,29.820171,1,1,40
43,2,1990,34.28162336,1,1,43
44,2,1994,1.00787878,1,1,26
45,2,1996,13.48602772,1,1,32
46,2,1998,39.45230246,1,1,45
47,2,2004,46.1,1,1,49
48,2,1968,-29.76783812,0,0,11
49,2,1970,-22.41714597,0,0,14
50,2,1974,-15.6499058,0,0,18
51,2,1976,-13.98552954,0,0,19
52,2,1978,-23.41388464,0,0,14
53,2,1980,-3.980699182,0,1,24
54,2,1984,19.76377964,1,1,35
55,2,1986,45.67445815,1,1,48
56,2,1988,33.58812034,1,1,42
57,2,1996,-43.64134967,0,0,4
58,2,1998,-43.68437231,0,0,4
59,2,1946,45.47711611,1,1,48
60,2,1952,45.09540796,1,1,48
61,2,1966,28.71893644,1,1,40
62,2,1980,46.9094336,1,1,49
63,2,1986,19.54030693,1,1,35
64,2,1988,36.194098,1,1,44
65,2,1990,41.06933177,1,1,46
66,2,1996,44.02656853,1,1,48
67,2,1966,42.59749651,1,1,47
68,2,1956,31.75151944,1,1,41
69,1,1960,13.59395981,1,1,32
70,1,1962,9.071362019,1,1,30
71,1,1964,3.035533428,1,0,27
72,1,1966,-3.297069669,0,0,24
73,1,1968,-8.451756835,0,1,21
74,1,1970,10.22676229,1,1,31
75,1,1972,12.47471273,1,0,32
76,1,1974,-7.674023509,0,0,22
77,1,1976,-42.00278223,0,0,4
78,1,1978,-10.99711955,0,0,20
79,1,1980,-48.15694988,0,0,1
80,1,1982,-42.30135679,0,0,4
81,1,1984,-13.35487366,0,0,19
82,1,1986,-15.41153,0,0,18
83,1,1988,-25.30913,0,0,13
84,1,1990,-3.84204,0,0,24
85,1,1992,-3.965997696,0,0,24
86,1,1994,-24.21557605,0,0,13
87,1,1996,-23.00859094,0,0,14
88,1,1998,-28.02302837,0,0,11
89,1,2006,-17.14,0,0,17
90,4,1950,21.1606741,1,0,36
91,4,1952,-8.031901717,0,0,21
92,4,1954,-6.25692606,0,0,22
93,4,1956,-9.869754314,0,0,21
94,4,1958,-18.49293411,0,0,16
95,4,1960,-18.45993996,0,0,16
96,4,1962,-17.34532416,0,0,17
97,4,1964,-10.55882275,0,0,20
98,4,1968,-43.23620498,0,0,4
99,4,1974,-8.762735128,0,0,21
100,4,1976,-16.65070653,0,0,17
101,4,1978,-41.93864763,0,0,5
102,4,1986,-42.68510342,0,0,4
103,4,1988,-44.23400462,0,0,3
104,4,1994,-16.98651314,0,0,17
105,4,1996,-20.36455572,0,0,15
106,4,1998,-29.24654186,0,0,11
107,4,2000,-11.7,0,0,20
108,4,2004,-23.54,0,0,14
109,4,2006,-8.72,0,1,21
110,4,1950,38.19010258,1,1,45
111,4,1952,13.74994218,1,1,32
112,4,1954,24.16113615,1,1,38
113,4,1956,20.12640238,1,1,36
114,4,1958,21.79889977,1,1,36
115,4,1960,11.49933338,1,1,31
116,4,1964,17.46118069,1,1,34
117,4,1966,19.16104257,1,1,35
118,4,1968,40.58514833,1,1,46
119,4,1970,39.14686739,1,1,45
120,4,1974,23.90799224,1,1,37
121,4,1976,18.82687211,1,1,35
122,4,1978,7.106202841,1,1,29
123,4,1980,17.79039204,1,1,34
124,4,1988,46.68438435,1,1,49
125,4,1990,31.81556165,1,1,41
126,4,1994,29.65972126,1,1,40
127,4,1996,34.2550844,1,1,43
128,4,1998,39.76861537,1,1,45
129,4,2000,43.62,1,0,47
130,4,2004,-21.22,0,0,15
131,4,2006,-20.22,0,0,15
132,4,1964,2.969661355,1,0,27
133,4,1968,-26.71804428,0,0,12
134,4,1974,-2.196240425,0,1,24
135,4,1976,5.178317428,1,1,28
136,4,1980,34.39282477,1,0,43
137,4,1984,-45.31622231,0,0,3
138,4,1988,-40.27790129,0,0,5
139,4,1990,-13.17378581,0,0,19
140,4,1994,-40.25224745,0,0,5
141,4,1996,-33.0304265,0,0,9
142,4,1998,-34.52591896,0,0,8
143,4,2000,-35.38,0,0,8
144,4,2006,-21.58,0,0,15
145,4,1974,-10.66889465,0,0,20
146,4,1976,-0.375280547,0,0,25
147,4,1978,-30.19959927,0,0,10
148,4,1980,-25.27074814,0,0,13
149,4,1986,-29.15009558,0,0,11
150,4,1990,-22.68139124,0,0,14
151,4,1994,-24.21532571,0,0,13
152,4,1996,-33.5617274,0,0,9
153,4,1998,-33.48654211,0,0,9
154,4,2000,-32.32,0,1,9
155,4,2004,46.42,1,1,49
156,4,1984,-2.72179544,0,0,24
157,4,1986,-29.70216274,0,0,11
158,4,1988,-35.59570611,0,0,8
159,4,1990,-29.50977981,0,0,11
160,4,1994,-38.98971975,0,0,6
